Date,direction_cardinal,Direction,Speed,,,
"Sunday, 9 July 2023",W,180,59,,,
"Monday, 10 July 2023",W,180,33,,,
"Tuesday, 11 July 2023",W,180,35,,,
"Wednesday, 12 July 2023",W,180,26,,,
"Thursday, 13 July 2023",W,180,20,,,
"Friday, 14 July 2023",NW,135,26,,,
"Saturday, 15 July 2023",WNW,157.5,44,,,
"Sunday, 16 July 2023",SSW,247.5,41,,,
"Monday, 17 July 2023",ENE,22.5,22,,,
"Friday, 21 July 2023",WNW,157.5,48,,,
"Saturday, 22 July 2023",W,180,35,,,
"Sunday, 23 July 2023",S,270,41,,,
"Monday, 24 July 2023",W,180,33,,,
"Tuesday, 25 July 2023",WNW,157.5,26,,,
"Wednesday, 26 July 2023",WSW,202.5,24,,,
"Thursday, 27 July 2023",W,180,30,,,
"Friday, 28 July 2023",W,180,31,,,
"Saturday, 29 July 2023",ENE,22.5,26,,,
"Sunday, 30 July 2023",NW,135,31,,,
"Monday, 31 July 2023",W,180,46,,,
"Tuesday, 1 August 2023",W,180,37,,,
"Wednesday, 2 August 2023",W,180,24,,,
"Thursday, 3 August 2023",NNE,67.5,31,,,
"Friday, 4 August 2023",NNE,67.5,33,,,
"Saturday, 5 August 2023",W,180,30,,,
"Sunday, 6 August 2023",SSW,247.5,37,,,
"Monday, 7 August 2023",SW,225,24,,,
"Tuesday, 8 August 2023",SSE,292.5,28,,,
"Wednesday, 9 August 2023",N,90,39,,,
"Thursday, 10 August 2023",W,180,54,,,
"Friday, 11 August 2023",W,180,31,,,
"Saturday, 12 August 2023",W,180,28,,,
"Sunday, 13 August 2023",SSE,292.5,31,,,
"Monday, 14 August 2023",S,270,31,,,
"Tuesday, 15 August 2023",SSE,292.5,41,,,
"Wednesday, 16 August 2023",W,180,24,,,
"Thursday, 17 August 2023",WNW,157.5,24,,,
"Friday, 18 August 2023",W,180,67,,,
"Saturday, 19 August 2023",WSW,202.5,54,,,
"Sunday, 20 August 2023",W,180,33,,,
"Monday, 21 August 2023",E,0,24,,,
"Tuesday, 22 August 2023",NNW,112.5,44,,,
"Wednesday, 23 August 2023",W,180,50,,,
"Thursday, 24 August 2023",WNW,157.5,22,,,
"Friday, 25 August 2023",SSW,247.5,24,,,
"Saturday, 26 August 2023",SSE,292.5,28,,,
"Sunday, 27 August 2023",E,0,24,,,
"Monday, 28 August 2023",NE,45,33,,,
"Tuesday, 29 August 2023",NNE,67.5,31,,,
"Wednesday, 30 August 2023",SSW,247.5,52,,,
"Thursday, 31 August 2023",S,270,39,,,
